维度,权重,检查项,合格判断,证据来源,评分0-5,优先级,备注
来源意图匹配,12%,广告/入口承诺是否出现在页面首屏,用户无需滚动即可看到对应主题/优惠/产品/任务,广告截图;入口截图;首屏截图,,, 
来源意图匹配,12%,关键词/素材角度是否与页面标题一致,Search关键词或Meta素材痛点能在H1/副标题中被承接,Google Ads;Meta Ads;页面截图,,, 
来源意图匹配,12%,价格/优惠/活动时间是否一致,广告、页面、购物车、结账无明显差异,广告后台;页面;Checkout,,, 
来源意图匹配,12%,URL参数是否保留,UTM/ref/gclid/fbclid跳转后未丢失,浏览器地址栏;GA4;Tag Assistant,,, 
首屏价值主张,10%,首屏是否说明这是什么,用户3秒内能判断产品/服务/任务入口,移动端首屏截图,,, 
首屏价值主张,10%,首屏是否说明给谁用,明确目标人群/角色/场景,页面文案,,, 
首屏价值主张,10%,首屏是否说明解决什么问题,不是口号，而是具体利益或任务结果,页面文案,,, 
首屏价值主张,10%,首屏是否有主CTA,CTA可见、可点、文案说明动作结果,页面截图;点击测试,,, 
信息架构与可扫描性,9%,小标题是否能串成完整故事,只读H2/H3也能理解页面逻辑,页面结构截图,,, 
信息架构与可扫描性,9%,每屏是否只有一个主要信息任务,没有同屏塞入太多卖点/按钮/弹窗,页面截图,,, 
信息架构与可扫描性,9%,段落和列表是否易读,段落短、列表清晰、重点突出,页面文案,,, 
信息架构与可扫描性,9%,关键决策信息是否前置,价格/限制/证据/CTA不被埋到底部,页面截图,,, 
可信证据,10%,是否有真实用户/客户/案例证据,评价、案例、Logo或数据具体可验证,页面截图;案例链接,,, 
可信证据,10%,证据是否靠近关键CTA,用户准备行动前能看到信任信息,页面截图,,, 
可信证据,10%,数据和承诺是否标注口径,有样本、时间、来源或适用范围,页面文案,,, 
可信证据,10%,价格/售后/隐私是否透明,重要风险提前披露，不后置隐藏,页面;政策页,,, 
产品/服务解释,8%,是否说明使用场景,按用户任务而不是内部功能堆砌,页面文案,,, 
产品/服务解释,8%,是否展示真实界面/流程/商品细节,有截图、视频、参数、流程或Demo,页面素材,,, 
产品/服务解释,8%,是否解释如何产生结果,说明机制、步骤或工作原理,页面文案,,, 
产品/服务解释,8%,是否说明适用与不适用情况,避免承诺过满,FAQ;条款;页面文案,,, 
CTA与行动路径,9%,主CTA是否唯一明确,同屏没有多个同等强度的行动,页面截图,,, 
CTA与行动路径,9%,CTA文案是否清楚,使用获取报价/开始试用/立即购买等明确动作,页面截图,,, 
CTA与行动路径,9%,CTA是否匹配用户阶段,冷流量有低承诺路径，热流量有成交路径,流量来源;页面截图,,, 
CTA与行动路径,9%,点击后是否有反馈,成功/失败/加载/下一步说明清楚,点击测试,,, 
风险解除与异议处理,8%,是否回答价格异议,解释价格、折扣、费用、续费、税费或运费,页面;Checkout,,, 
风险解除与异议处理,8%,是否回答售后/退款/取消问题,退换、取消、退款路径清楚,政策页;FAQ,,, 
风险解除与异议处理,8%,是否回答安全/隐私问题,说明数据用途、权限、共享范围,隐私政策;页面,,, 
风险解除与异议处理,8%,FAQ是否覆盖关键转化疑虑,不是堆信息，而是解除行动前阻力,FAQ截图,,, 
移动端与加载体验,8%,移动端首屏是否可理解,手机打开3秒内能看到标题/利益/CTA,真机截图,,, 
移动端与加载体验,8%,核心按钮是否可点且不被遮挡,悬浮条、弹窗、聊天插件不挡CTA,真机点击测试,,, 
移动端与加载体验,8%,页面加载和稳定性是否合格,LCP/INP/CLS无明显差问题,PageSpeed Insights;Search Console,,, 
移动端与加载体验,8%,图片/视频是否影响首屏,首屏媒体不过大，不造成白屏或布局跳动,Network;Lighthouse,,, 
可访问性与包容性,7%,颜色对比是否足够,正文、按钮、链接在移动端可读,Lighthouse;人工检查,,, 
可访问性与包容性,7%,图片是否有替代说明,关键信息不只存在于图片中,页面HTML;CMS,,, 
可访问性与包容性,7%,表单错误提示是否明确,指出字段、原因和修正方式,表单测试,,, 
可访问性与包容性,7%,键盘和焦点状态是否可用,Tab顺序和按钮焦点清楚,键盘测试,,, 
合规与反误导,7%,是否存在夸大收益或绝对化表达,避免无法证明的收益承诺和敏感行业违规词,页面文案;法务清单,,, 
合规与反误导,7%,是否存在隐藏费用或默认勾选,费用、订阅、续费、附加项透明,Checkout;订阅页,,, 
合规与反误导,7%,取消/退款路径是否清楚,用户能找到取消、退款或联系客服路径,政策页;账户页,,, 
合规与反误导,7%,隐私/Cookie说明是否清楚,说明数据收集、用途和选择权,隐私弹窗;政策页,,, 
数据追踪与实验能力,7%,核心事件是否触发,ViewContent/Lead/ATC/Purchase/Signup等事件正常,GA4 DebugView;Pixel Helper,,, 
数据追踪与实验能力,7%,事件参数是否完整,value/currency/item_id/campaign/content等可用于分析,GA4;广告平台,,, 
数据追踪与实验能力,7%,是否能拆分页面与渠道表现,Landing page、source/medium、campaign可分析,GA4;Ads报表,,, 
数据追踪与实验能力,7%,是否有实验假设和观测指标,每次优化有假设、变量、周期、成功标准,实验计划,,, 
品牌一致性与长期信任,5%,广告/官网/App/客服口径是否一致,同一产品承诺、价格、政策不冲突,跨页面对比,,, 
品牌一致性与长期信任,5%,视觉和语气是否符合品牌,不过度营销化或与产品矩阵割裂,页面截图;品牌规范,,, 
品牌一致性与长期信任,5%,是否保留用户退路,返回、了解更多、联系客服、取消等路径清楚,页面流程,,, 
品牌一致性与长期信任,5%,是否诚实说明限制,对非目标用户、限制条件、适用范围有说明,FAQ;条款;页面文案,,, 
